9827069,9961218,4553,1593550,11554768,16.00
9827070,9979845,3774,1320900,11300745,13.24
9827071,3134182,1515,530250,3664432,16.92
9827072,9967840,4377,1531950,11499790,15.37
9827073,9977458,5770,2019500,11996958,20.24
9827074,2734632,1485,519750,3254382,19.01
9827075,9990581,5015,1755250,11745831,17.57
9827076,9975149,5678,1987300,11962449,19.92
9827077,9990357,3254,1138900,11129257,11.40
9827078,9978702,4849,1697150,11675852,17.01
9827079,9958033,4449,1557150,11515183,15.64
9827080,9967326,5668,1983800,11951126,19.90
9827082,9963313,5747,2011450,11974763,20.19
9827083,9953853,5276,1846600,11800453,18.55
9827084,9961453,6005,2101750,12063203,21.10
9827085,9973075,4638,1623300,11596375,16.28
9827086,9971307,6693,2342550,12313857,23.49
9827087,3400212,2392,837200,4237412,24.62
9827088,9960146,7099,2484650,12444796,24.95
9827089,9964301,6824,2388400,12352701,23.97
9827090,9979865,3825,1338750,11318615,13.41
9827091,9960967,5826,2039100,12000067,20.47
9827092,9943120,5212,1824200,11767320,18.35
9827093,4246110,2995,1048250,5294360,24.69
9827094,9959282,5010,1753500,11712782,17.61
9827095,9970636,4419,1546650,11517286,15.51
9827096,9970665,5299,1854650,11825315,18.60
9827097,9970855,5859,2050650,12021505,20.57
9827098,9962681,7013,2454550,12417231,24.64
9827100,9957077,6375,2231250,12188327,22.41
9827101,9954210,1701,595350,10549560,5.98
9827102,9947889,5274,1845900,11793789,18.56
9827103,5158766,2914,1019900,6178666,19.77
9827104,9958603,6454,2258900,12217503,22.68
9827105,9962257,3043,1065050,11027307,10.69
9827106,9970333,4864,1702400,11672733,17.07
9827107,9975523,6604,2311400,12286923,23.17
9827108,9988523,5598,1959300,11947823,19.62
9827109,5999062,2723,953050,6952112,15.89
9827110,9982885,4170,1459500,11442385,14.62
9827111,2053427,1383,484050,2537477,23.57
9827112,9968042,5587,1955450,11923492,19.62
9827113,9975408,5767,2018450,11993858,20.23
9827114,9974169,7886,2760100,12734269,27.67
9827115,9989190,5256,1839600,11828790,18.42
9827116,9997034,5471,1914850,11911884,19.15
9827117,9981656,6069,2124150,12105806,21.28
9827118,9976008,3487,1220450,11196458,12.23
9827120,6385955,3430,1200500,7586455,18.80
9827121,9977991,5657,1979950,11957941,19.84
9827122,9971075,7240,2534000,12505075,25.41
9827123,9965883,2695,943250,10909133,9.46
9827124,9977278,6004,2101400,12078678,21.06
9827125,9969213,7584,2654400,12623613,26.63
9827126,9969846,5376,1881600,11851446,18.87
9827127,9961347,5626,1969100,11930447,19.77
9827128,9981106,7330,2565500,12546606,25.70
9827129,3575914,2388,835800,4411714,23.37
9827130,9979301,6411,2243850,12223151,22.49
9827131,9969382,6200,2170000,12139382,21.77
9827132,9998595,5190,1816500,11815095,18.17
9827133,2015701,1697,593950,2609651,29.47
9827134,9969944,6411,2243850,12213794,22.51
9827135,9969458,6772,2370200,12339658,23.77
9827136,2537695,2540,889000,3426695,35.03
9827137,9951886,5870,2054500,12006386,20.64
9827138,9931908,6205,2171750,12103658,21.87
9827140,1045331,205,71750,1117081,6.86
9827141,9936341,6182,2163700,12100041,21.78
9827142,9955557,6720,2352000,12307557,23.62
9827144,1469696,1768,618800,2088496,42.10
9827145,2101021,1077,376950,2477971,17.94
9827146,5531497,4869,1704150,7235647,30.81
9827147,6139178,3582,1253700,7392878,20.42
9827148,9955068,8852,3098200,13053268,31.12
9827149,9957064,6138,2148300,12105364,21.58
9827150,9966113,4272,1495200,11461313,15.00
9827151,9976395,6596,2308600,12284995,23.14
9827152,4902696,3668,1283800,6186496,26.19
9827153,9987563,6229,2180150,12167713,21.83
9827154,7165101,4254,1488900,8654001,20.78
9827155,9948411,4988,1745800,11694211,17.55
9827156,9993773,7598,2659300,12653073,26.61
9827157,9982176,5353,1873550,11855726,18.77
9827158,9988335,4408,1542800,11531135,15.45
9827159,9997807,3864,1352400,11350207,13.53
9827160,9975198,6516,2280600,12255798,22.86
9827161,7079856,6773,2370550,9450406,33.48
9827162,9964832,5497,1923950,11888782,19.31
9827163,9989242,6013,2104550,12093792,21.07
9827164,1651064,1981,693350,2344414,41.99
9827165,9975401,5010,1753500,11728901,17.58
9827166,9975472,7719,2701650,12677122,27.08
9827167,9955595,6030,2110500,12066095,21.20
